"ID","Name","Description","PicturePath","Active","CreatedBy","ChangedBy","CreationDate","ChangeDate","Version","Tenant","Alias","ShortDescription","StartTime","EndTime","StartLocation","SportsCategory","MaxDistanceMeter","MaxLaps","NumberOfParticipants","StartNumberMin","StartNumberMax","TeamCount","AgeMin","AgeMax","SportsEventId","RegisterBy","AgeGroupID","AgeGroupID1","CategorySTatus","MapZoomFaktor","latitudeMapCenter","latitudeStart","longitudeMapCenter","longitudeStart","CategoryType","TimeType"
"0038b769-0010-4c42-9255-92c0e7952ec1","400 m Jungenlauf","400 m Jungenlauf",NULL,"1",NULL,NULL,"2022-04-21 08:56:29.259304","2022-04-21 08:56:29.259310","0",NULL,"400-m-jungenlauf","L 0.4 M","2022-04-23 11:00:00.000000",NULL,"Lübbenau","Laufen","400.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","6535fde0-2911-4b50-8301-deadd7c1865c","2022-04-21 23:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","51.8676746","51.8676746","13.9678334","13.9678334","0","0"
"0059ee3e-4f56-4f91-84c0-f665a9597baf","10km Stadtwerke Freiberg Nordic Walking","10000m Walking",NULL,"1",NULL,NULL,"2021-09-04 12:41:17.204680","2021-09-24 12:41:17.204688","0",NULL,"10000-m-Lauf","10000m","2021-09-18 12:20:00.289000",NULL,"Stadion","Walken","10000.000000000000000000000000000000","0","0","0","0",NULL,"1","150","3cf19781-a4ba-4c38-99f1-a710225a44f4","2021-09-18 23:59:59.000000","8ad479ab-7654-4702-9b1b-7aaacc5af6ad",NULL,"4","16","50.9072107","50.9072107","13.3178501","13.3178501","0","1"
"008d1c6c-a43d-4755-a890-4ccbaacb99ea","71,5 km Skater-König","71,5 km Skater-König",NULL,"1",NULL,NULL,"2020-06-14 14:49:36.065385","2020-06-14 14:49:36.065393","0",NULL,"715-km-skater-knig","SK","2020-04-17 00:00:03.000000",NULL,,"Skaten","71500.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","b26238c9-fb2f-4825-9a61-319839359ae4","2020-06-01 17:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"1"
"01a6c226-f6a5-433a-b820-a2446b238f40","individuelle Wanderung

","individuelle Wanderung

",NULL,"1",NULL,NULL,"2021-08-12 21:50:32.951299","2021-08-12 21:50:32.951305","0",NULL,"individuelle-wanderung-","W So","2021-08-15 08:00:00.000000",NULL,"Sächsische Schweiz","Wandern","0.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","a4b4a5f5-8fdd-49c9-ba8f-d8636a7b18b4","2021-08-11 23:59:00.000000","1e9af348-74fa-4c0d-b060-c9f686eff8e1",NULL,"0","16","50.9248821","50.9248821","14.3561968","14.3561968","0","0"
"024fe86e-a936-4bd8-8de7-ce15cc182a63","400m Lauf (bis 9 Jahre)","400m Lauf (bis 9 Jahre)",NULL,"1",NULL,NULL,"2020-10-11 10:17:20.989382","2020-10-11 10:17:20.989460","0",NULL,"400m-lauf-bis-9-jahre","L 0,4","2020-10-11 10:00:00.000000",NULL,"Finsterwalde /Stadion","Laufen","400.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","e7122139-4951-411e-b12c-2728e8b8dd65","2020-10-10 23:59:59.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","51.6302984","51.6302984","13.6942506","13.6942506","0","2"
"034d8e34-365d-4872-b1cf-8f4d04caab16","Skate-Team (2 x 21km)","Skate-Team (2 x 21km)",NULL,"1",NULL,NULL,"2021-07-08 20:22:28.259259","2021-07-08 20:22:28.259263","0",NULL,"skate-team-2-x-21km","ST1 42","2021-07-10 08:10:02.000000",NULL,"Großräschen","Skaten","42000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","7cf903d6-9cd3-46ae-b918-3b37673206af","2021-07-06 08:00:00.000000","9756351e-d257-41fe-bd55-b4237702a644",NULL,"4","16"," 51.5752455","51.5752455","14.0101711","14.0101711","0","1"
"03ccda68-f51c-4e3d-b3ba-15e3e8d50e04","101 km Radtour Nordroute + 46 km Radtour Deciner Runde","101 km Radtour Nordroute + 46 km Radtour Deciner Runde",NULL,"1",NULL,NULL,"2021-08-12 21:50:31.434797","2021-08-12 21:50:31.434801","0",NULL,"101-km-radtour-nordroute-46-km","R 101","2021-08-14 09:00:01.000000",NULL,"Bad Schandau OT Krippen","Radeln","101000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","a4b4a5f5-8fdd-49c9-ba8f-d8636a7b18b4","2021-08-11 23:59:00.000000","3fe2b034-3e77-410e-a4d5-ea44b72e62df",NULL,"0","16","50.9248821","50.9248821","14.3561968","14.3561968","0","0"
"042351c1-95f8-46b2-b058-24c5500242f2","10 km Antenne Brandenburg Lauf","10 km Antenne Brandenburg Lauf",NULL,"1",NULL,NULL,"2020-06-14 14:49:36.767820","2020-06-14 14:49:36.767824","0",NULL,"10-km-antenne-brandenburg-lauf","L 10","2020-04-19 10:30:00.000000",NULL,"Burg","Laufen","10000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","b26238c9-fb2f-4825-9a61-319839359ae4","2020-06-01 17:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"1"
"04a4c446-0da0-4a9b-a78e-65efc0296521","6 km Walken","6 km Walken",NULL,"1",NULL,NULL,"2021-03-07 11:54:07.461281","2021-03-07 11:54:07.461290","0",NULL,"6-km-walken","Wlk 6","2021-03-01 00:00:00.000000",NULL,"virtuell","Walken","6000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","bc3f57d0-a67e-4084-a0b6-32495a30e46e","2021-03-30 00:00:00.000000","8ad479ab-7654-4702-9b1b-7aaacc5af6ad",NULL,"4","16","51.3794723","51.3794723","13.7638789","13.7638789","0","1"
"04c5c8f6-cf96-4411-93a7-b1e1151f6c1f","5 km Frauen-Lauf","5 km Frauen-Lauf",NULL,"1",NULL,NULL,"2020-06-14 14:49:31.841788","2020-06-14 14:49:31.841792","0",NULL,"5-km-frauen-lauf","L 5 W","2020-04-18 10:30:00.000000",NULL,"Lübbenau","Laufen","5000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","b26238c9-fb2f-4825-9a61-319839359ae4","2020-06-01 17:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"1"
